strategy_key,strategy_label,portfolio_model,portfolio_start_date,portfolio_end_date,initial_equity,ending_equity,total_portfolio_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,maximum_drawdown,max_drawdown_peak_date,max_drawdown_trough_date,max_drawdown_recovery_date,max_drawdown_duration_days,longest_time_under_water_days,ulcer_index,conditional_drawdown_at_risk_95,worst_daily_return,worst_weekly_return,worst_monthly_return,daily_expected_shortfall_95,daily_expected_shortfall_99,daily_return_skewness,daily_return_excess_kurtosis,average_gross_exposure,median_gross_exposure,maximum_gross_exposure,average_active_positions,maximum_active_positions,percent_days_in_cash,annual_turnover,total_transaction_cost
score_bo_l10_rm002_erp015__first_signal__low20,Score BO L10 R20>=-0.02 ER20>=0.15 / First signal / Low20 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1539.870396268543,0.5398703962685429,0.04762567973080145,0.09852656407116364,0.5227047356360257,0.7062922164834635,0.1697043964076758,-0.28063904494490355,2021-11-08,2022-10-14,2025-09-11,1403,1402,0.10739846769976799,-0.2430804230502962,-0.050524660338859495,-0.05526863758745171,-0.07170204818023862,-0.01578171509645902,-0.024745387973212754,-0.7243803026006325,5.121537225099191,0.9702351329293467,0.9963904965022612,1.0,157.2906129447064,431,0.0,33.72584702059156,378.04855992801106
score_bo_l10_rp000_erp015__first_signal__low20,Score BO L10 R20>=0.00 ER20>=0.15 / First signal / Low20 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1539.870396268543,0.5398703962685429,0.04762567973080145,0.09852656407116364,0.5227047356360257,0.7062922164834635,0.1697043964076758,-0.28063904494490355,2021-11-08,2022-10-14,2025-09-11,1403,1402,0.10739846769976799,-0.2430804230502962,-0.050524660338859495,-0.05526863758745171,-0.07170204818023862,-0.01578171509645902,-0.024745387973212754,-0.7243803026006325,5.121537225099191,0.9702351329293467,0.9963904965022612,1.0,157.2906129447064,431,0.0,33.72584702059156,378.04855992801106
score_bo_l20_rm002_erp005__signal_2d_confirm__ma50,Score BO L20 R20>=-0.02 ER20>=0.05 / Signal 2D confirm / MA50 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1501.5026401692273,0.5015026401692273,0.04478066731262631,0.10111869768884144,0.48488727375183405,0.6633510418964829,0.18197108698928954,-0.24608671659614811,2022-03-29,2022-11-02,2025-10-02,1283,1282,0.09839027395304153,-0.2286429398265982,-0.05116743708491189,-0.04839050847001758,-0.06262204526873005,-0.015800541762804182,-0.0245875232366984,-0.5845249049148176,4.4184099996152995,0.966981958909136,0.9999999999999993,1.0,110.70767252464638,403,0.0004286326618088298,37.12774217606156,411.4529117930729
score_bo_l20_rp000_erp005__signal_2d_confirm__ma50,Score BO L20 R20>=0.00 ER20>=0.05 / Signal 2D confirm / MA50 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1501.5026401692273,0.5015026401692273,0.04478066731262631,0.10111869768884144,0.48488727375183405,0.6633510418964829,0.18197108698928954,-0.24608671659614811,2022-03-29,2022-11-02,2025-10-02,1283,1282,0.09839027395304153,-0.2286429398265982,-0.05116743708491189,-0.04839050847001758,-0.06262204526873005,-0.015800541762804182,-0.0245875232366984,-0.5845249049148176,4.4184099996152995,0.966981958909136,0.9999999999999993,1.0,110.70767252464638,403,0.0004286326618088298,37.12774217606156,411.4529117930729
score_bo_l10_rm002_erp005__signal_2d_confirm__low20_minus_0_5atr,Score BO L10 R20>=-0.02 ER20>=0.05 / Signal 2D confirm / Low20 - 0.5ATR trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1437.0252464303974,0.4370252464303974,0.03985012868800952,0.10030340678149009,0.4407683317049406,0.5925560060744662,0.13221676361225998,-0.30139997076977587,2021-11-08,2022-10-14,2025-10-27,1449,1448,0.11400227832012934,-0.26261431005513985,-0.050740829502434415,-0.05839190380976966,-0.08686740073175225,-0.01604808410826812,-0.024680173212667023,-0.7438826885521431,4.6014441832297255,0.972388689691548,0.9999999999999993,1.0,143.81397342477496,428,0.0004286326618088298,30.37798191170769,333.39369823865746
score_bo_l10_rp000_erp005__signal_2d_confirm__low20_minus_0_5atr,Score BO L10 R20>=0.00 ER20>=0.05 / Signal 2D confirm / Low20 - 0.5ATR trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1437.0252464303974,0.4370252464303974,0.03985012868800952,0.10030340678149009,0.4407683317049406,0.5925560060744662,0.13221676361225998,-0.30139997076977587,2021-11-08,2022-10-14,2025-10-27,1449,1448,0.11400227832012934,-0.26261431005513985,-0.050740829502434415,-0.05839190380976966,-0.08686740073175225,-0.01604808410826812,-0.024680173212667023,-0.7438826885521431,4.6014441832297255,0.972388689691548,0.9999999999999993,1.0,143.81397342477496,428,0.0004286326618088298,30.37798191170769,333.39369823865746
score_bo_l10_rp002_erp015__first_signal__ma50,Score BO L10 R20>=0.02 ER20>=0.15 / First signal / MA50 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1665.5730869167965,0.6655730869167964,0.0565232570056573,0.12686626496001777,0.49806871701042443,0.6747057260632986,0.17442631895474234,-0.3240523410937953,2021-11-08,2022-10-18,2025-09-08,1400,1399,0.11773280338382229,-0.29397385874347765,-0.06334825290436574,-0.0715669938114728,-0.085876114911556,-0.019839291142988196,-0.0311033824264443,-0.7460201331232188,4.940017546382556,0.9612252558576836,0.9999999999999991,1.0,119.42863266180883,361,0.0,44.83765882138579,517.4324910990354
score_bo_l10_rm002_erp015__signal_2d_confirm__low20,Score BO L10 R20>=-0.02 ER20>=0.15 / Signal 2D confirm / Low20 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1480.1838465732396,0.48018384657323954,0.043171700059275286,0.10054567602308404,0.4717561221562382,0.6336790683711613,0.16013384052800575,-0.2695976060833001,2021-11-08,2022-10-19,2025-09-11,1403,1402,0.10322818446001664,-0.2389593061804301,-0.05140332733116626,-0.05716640697581876,-0.07523634717297911,-0.016086605428771366,-0.025625867140982823,-0.7991448324612347,5.656732722344426,0.9708090107694856,0.9999999999999994,1.0,120.68966995285041,407,0.0004286326618088298,33.38865541446968,373.64566717933815
score_bo_l10_rp000_erp015__signal_2d_confirm__low20,Score BO L10 R20>=0.00 ER20>=0.15 / Signal 2D confirm / Low20 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1480.1838465732396,0.48018384657323954,0.043171700059275286,0.10054567602308404,0.4717561221562382,0.6336790683711613,0.16013384052800575,-0.2695976060833001,2021-11-08,2022-10-19,2025-09-11,1403,1402,0.10322818446001664,-0.2389593061804301,-0.05140332733116626,-0.05716640697581876,-0.07523634717297911,-0.016086605428771366,-0.025625867140982823,-0.7991448324612347,5.656732722344426,0.9708090107694856,0.9999999999999994,1.0,120.68966995285041,407,0.0004286326618088298,33.38865541446968,373.64566717933815
score_bo_l20_rm002_erp010__first_signal__ma50,Score BO L20 R20>=-0.02 ER20>=0.10 / First signal / MA50 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1533.7735434216083,0.5337735434216084,0.04717784819550164,0.09764066038934699,0.5221383961488694,0.7148466153712205,0.22071987542816152,-0.21374535530152916,2021-11-08,2022-10-14,2025-06-30,1330,1329,0.0819407489396095,-0.19018728011932426,-0.0501206972473478,-0.047051026880936986,-0.06678176608938613,-0.01523702962058442,-0.023863908212186286,-0.5980576790012782,4.45450019028741,0.9643771950833623,0.9940515822528466,1.0,134.79897128161167,419,0.0,39.4823875513228,442.4937320763537
score_bo_l20_rp000_erp010__first_signal__ma50,Score BO L20 R20>=0.00 ER20>=0.10 / First signal / MA50 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1533.7735434216083,0.5337735434216084,0.04717784819550164,0.09764066038934699,0.5221383961488694,0.7148466153712205,0.22071987542816152,-0.21374535530152916,2021-11-08,2022-10-14,2025-06-30,1330,1329,0.0819407489396095,-0.19018728011932426,-0.0501206972473478,-0.047051026880936986,-0.06678176608938613,-0.01523702962058442,-0.023863908212186286,-0.5980576790012782,4.45450019028741,0.9643771950833623,0.9940515822528466,1.0,134.79897128161167,419,0.0,39.4823875513228,442.4937320763537
score_bo_l10_rp002_erp015__first_signal__low20,Score BO L10 R20>=0.02 ER20>=0.15 / First signal / Low20 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1841.4566152685004,0.8414566152685004,0.06801615216752421,0.12921500254760812,0.5752699841959843,0.78086829524539,0.19175431149166858,-0.35470468245758013,2021-11-08,2022-10-14,2025-07-02,1332,1331,0.11954345679778894,-0.29712156770625936,-0.06386399639396023,-0.06231336838123913,-0.0890202643209902,-0.02039164322397488,-0.03128772612423011,-0.6879597288568463,4.57073209964787,0.9648421457069868,0.9999999999999997,1.0,127.56965280754393,361,0.002571795970852979,38.29484058839872,478.65986360359886
score_bo_l10_rm002_erp010__signal_2d_confirm__low20_minus_0_5atr,Score BO L10 R20>=-0.02 ER20>=0.10 / Signal 2D confirm / Low20 - 0.5ATR trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1461.2470336613833,0.4612470336613832,0.04172507033658568,0.10044845032560434,0.4582545469316385,0.6163169587170265,0.13845983293234368,-0.30135144216860354,2021-11-08,2022-10-14,2025-10-06,1428,1427,0.11388818668573124,-0.2638576561207601,-0.05111840942381296,-0.059427517180286715,-0.08575980041821019,-0.016035721594028985,-0.024853824455834932,-0.7453102348736839,4.694571491052168,0.9726634501823528,0.9999999999999994,1.0,136.9267038148307,416,0.0004286326618088298,30.134500775514656,334.68940741185827
score_bo_l10_rp000_erp010__signal_2d_confirm__low20_minus_0_5atr,Score BO L10 R20>=0.00 ER20>=0.10 / Signal 2D confirm / Low20 - 0.5ATR trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1461.2470336613833,0.4612470336613832,0.04172507033658568,0.10044845032560434,0.4582545469316385,0.6163169587170265,0.13845983293234368,-0.30135144216860354,2021-11-08,2022-10-14,2025-10-06,1428,1427,0.11388818668573124,-0.2638576561207601,-0.05111840942381296,-0.059427517180286715,-0.08575980041821019,-0.016035721594028985,-0.024853824455834932,-0.7453102348736839,4.694571491052168,0.9726634501823528,0.9999999999999994,1.0,136.9267038148307,416,0.0004286326618088298,30.134500775514656,334.68940741185827
score_bo_l10_rm002_erp010__signal_2d_confirm__low20,Score BO L10 R20>=-0.02 ER20>=0.10 / Signal 2D confirm / Low20 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1438.4725193690258,0.43847251936902576,0.03996294720939275,0.09909396272814093,0.44602818335460764,0.5995118530349656,0.14789649091117876,-0.27020889382286317,2021-11-08,2022-10-14,2025-09-05,1397,1396,0.10729250748560287,-0.24102998897937053,-0.051721698970426555,-0.04525903310069446,-0.07594418072142262,-0.015868789990690642,-0.024847804516519245,-0.7649900057464402,5.2187777418819845,0.9707773290741254,0.9999999999999993,1.0,128.0094299185598,417,0.0004286326618088298,33.309093707482006,362.2200298684861
score_bo_l10_rp000_erp010__signal_2d_confirm__low20,Score BO L10 R20>=0.00 ER20>=0.10 / Signal 2D confirm / Low20 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1438.4725193690258,0.43847251936902576,0.03996294720939275,0.09909396272814093,0.44602818335460764,0.5995118530349656,0.14789649091117876,-0.27020889382286317,2021-11-08,2022-10-14,2025-09-05,1397,1396,0.10729250748560287,-0.24102998897937053,-0.051721698970426555,-0.04525903310069446,-0.07594418072142262,-0.015868789990690642,-0.024847804516519245,-0.7649900057464402,5.2187777418819845,0.9707773290741254,0.9999999999999993,1.0,128.0094299185598,417,0.0004286326618088298,33.309093707482006,362.2200298684861
score_bo_l10_rm002_erp015__first_signal__ma50,Score BO L10 R20>=-0.02 ER20>=0.15 / First signal / MA50 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1476.7443473306307,0.47674434733063076,0.04291018022034665,0.09561193770595797,0.48836203786039856,0.6645505762618238,0.17877057935158322,-0.240029317888803,2021-11-08,2022-11-03,2025-09-11,1403,1402,0.09629194322054652,-0.22186430534102322,-0.05005477960381732,-0.048700832626396684,-0.06348888161673483,-0.015040445749805606,-0.023797764921335396,-0.6754954611637852,4.705609861335288,0.9640998339926662,0.992334852312964,1.0,145.9121303043292,417,0.0,39.523785829063534,429.80879102286616
score_bo_l10_rp000_erp015__first_signal__ma50,Score BO L10 R20>=0.00 ER20>=0.15 / First signal / MA50 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1476.7443473306307,0.47674434733063076,0.04291018022034665,0.09561193770595797,0.48836203786039856,0.6645505762618238,0.17877057935158322,-0.240029317888803,2021-11-08,2022-11-03,2025-09-11,1403,1402,0.09629194322054652,-0.22186430534102322,-0.05005477960381732,-0.048700832626396684,-0.06348888161673483,-0.015040445749805606,-0.023797764921335396,-0.6754954611637852,4.705609861335288,0.9640998339926662,0.992334852312964,1.0,145.9121303043292,417,0.0,39.523785829063534,429.80879102286616
score_bo_l10_rp002_erp005__first_signal__low20_minus_0_5atr,Score BO L10 R20>=0.02 ER20>=0.05 / First signal / Low20 - 0.5ATR trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1777.949705975911,0.7779497059759111,0.06398403088248683,0.12849544337061725,0.5482328287764179,0.7430121399687688,0.16659561223667566,-0.38406792365928166,2021-11-08,2022-10-14,2025-09-11,1403,1402,0.13582592415166642,-0.32232972097725504,-0.05135215741701815,-0.07405164947403076,-0.10105181923423956,-0.02050053929459789,-0.030787647629082426,-0.6266594956543495,3.1420971696496314,0.97000666578305,0.9999999999999997,1.0,139.77368195456495,369,0.0,34.40589934065503,424.0327853648631
score_bo_l20_rm002_erp015__signal_2d_confirm__low20_minus_0_5atr,Score BO L20 R20>=-0.02 ER20>=0.15 / Signal 2D confirm / Low20 - 0.5ATR trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1438.0931942459183,0.4380931942459183,0.039933387670464615,0.10341277998707343,0.43139186883765734,0.5777247856921586,0.11555960474461895,-0.3455652843285112,2021-11-08,2022-10-14,2026-02-24,1569,1568,0.1353046517263642,-0.3072837169768794,-0.05180505384961842,-0.08432114976894933,-0.08502105048683528,-0.016554087995279063,-0.026090188871820828,-0.8455626685606921,5.746861411794788,0.9725039949326812,0.9999999999999996,1.0,116.68709815687956,398,0.0004286326618088298,30.36536196943778,333.7958820893941
score_bo_l20_rp000_erp015__signal_2d_confirm__low20_minus_0_5atr,Score BO L20 R20>=0.00 ER20>=0.15 / Signal 2D confirm / Low20 - 0.5ATR trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1438.0931942459183,0.4380931942459183,0.039933387670464615,0.10341277998707343,0.43139186883765734,0.5777247856921586,0.11555960474461895,-0.3455652843285112,2021-11-08,2022-10-14,2026-02-24,1569,1568,0.1353046517263642,-0.3072837169768794,-0.05180505384961842,-0.08432114976894933,-0.08502105048683528,-0.016554087995279063,-0.026090188871820828,-0.8455626685606921,5.746861411794788,0.9725039949326812,0.9999999999999996,1.0,116.68709815687956,398,0.0004286326618088298,30.36536196943778,333.7958820893941
score_bo_l20_rm002_erp015__breakout_5d_after_signal__ma50,Score BO L20 R20>=-0.02 ER20>=0.15 / 5D breakout after signal / MA50 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1563.7161837111644,0.5637161837111644,0.049362163860801944,0.10310923944097654,0.5200361530912195,0.7111315014546846,0.22273526507779265,-0.221618089275453,2022-03-25,2022-10-18,2025-10-06,1291,1288,0.08939899514711906,-0.209898779911241,-0.05182940974950667,-0.04874547612601354,-0.0619733889589007,-0.01614474477819777,-0.024881185105746953,-0.55763584452003,4.630910112163184,0.969744700539478,0.9999999999999997,1.0,101.26789541363051,385,0.0004286326618088298,34.90577812544597,401.8501771281303
score_bo_l20_rp000_erp015__breakout_5d_after_signal__ma50,Score BO L20 R20>=0.00 ER20>=0.15 / 5D breakout after signal / MA50 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1563.7161837111644,0.5637161837111644,0.049362163860801944,0.10310923944097654,0.5200361530912195,0.7111315014546846,0.22273526507779265,-0.221618089275453,2022-03-25,2022-10-18,2025-10-06,1291,1288,0.08939899514711906,-0.209898779911241,-0.05182940974950667,-0.04874547612601354,-0.0619733889589007,-0.01614474477819777,-0.024881185105746953,-0.55763584452003,4.630910112163184,0.969744700539478,0.9999999999999997,1.0,101.26789541363051,385,0.0004286326618088298,34.90577812544597,401.8501771281303
score_bo_l10_rm002_erp015__signal_2d_confirm__low20_minus_0_5atr,Score BO L10 R20>=-0.02 ER20>=0.15 / Signal 2D confirm / Low20 - 0.5ATR trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1446.7935716980446,0.4467935716980447,0.04060963565053277,0.10200307416419355,0.4423192154289329,0.5916639236213643,0.12772735646478758,-0.3179399994998582,2021-11-08,2022-10-14,2026-01-27,1541,1540,0.12223838787575218,-0.28097702434869276,-0.05180505384961842,-0.084321149768949,-0.08530919677437176,-0.016345096269918022,-0.025784804674161093,-0.8634150405477782,5.950810582678443,0.9726866066519945,0.9999999999999994,1.0,129.80540077153879,407,0.0004286326618088298,30.14574922410553,336.10167568848726
score_bo_l10_rp000_erp015__signal_2d_confirm__low20_minus_0_5atr,Score BO L10 R20>=0.00 ER20>=0.15 / Signal 2D confirm / Low20 - 0.5ATR trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1446.7935716980446,0.4467935716980447,0.04060963565053277,0.10200307416419355,0.4423192154289329,0.5916639236213643,0.12772735646478758,-0.3179399994998582,2021-11-08,2022-10-14,2026-01-27,1541,1540,0.12223838787575218,-0.28097702434869276,-0.05180505384961842,-0.084321149768949,-0.08530919677437176,-0.016345096269918022,-0.025784804674161093,-0.8634150405477782,5.950810582678443,0.9726866066519945,0.9999999999999994,1.0,129.80540077153879,407,0.0004286326618088298,30.14574922410553,336.10167568848726
score_bo_l20_rm002_erp015__signal_2d_confirm__low20,Score BO L20 R20>=-0.02 ER20>=0.15 / Signal 2D confirm / Low20 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1450.0689835645194,0.4500689835645193,0.04086328142465545,0.1021721573659779,0.44412575050439007,0.5973165487110668,0.1355264285777875,-0.3015152236613491,2021-11-08,2022-10-19,2026-01-09,1523,1522,0.11691802691876875,-0.2694822066373104,-0.05161569789376608,-0.05716640697581876,-0.07335512180676873,-0.016321812218179986,-0.025946794437002676,-0.7627359731152406,5.71684601102595,0.9706746170684911,0.9999999999999996,1.0,108.08529789969995,397,0.0004286326618088298,33.711341821660284,372.5505205050412
score_bo_l20_rp000_erp015__signal_2d_confirm__low20,Score BO L20 R20>=0.00 ER20>=0.15 / Signal 2D confirm / Low20 trailing,canonical_equal_weight_active_v1,2017-04-26,2026-08-06,1000.0,1450.0689835645194,0.4500689835645193,0.04086328142465545,0.1021721573659779,0.44412575050439007,0.5973165487110668,0.1355264285777875,-0.3015152236613491,2021-11-08,2022-10-19,2026-01-09,1523,1522,0.11691802691876875,-0.2694822066373104,-0.05161569789376608,-0.05716640697581876,-0.07335512180676873,-0.016321812218179986,-0.025946794437002676,-0.7627359731152406,5.71684601102595,0.9706746170684911,0.9999999999999996,1.0,108.08529789969995,397,0.0004286326618088298,33.711341821660284,372.5505205050412
