strategy_key,strategy_label,score_lookback,r20_min,er20_min,entry_rule,exit_rule,entry_year,year_basis,year_period_start,year_period_end,first_entry_date,last_entry_date,first_exit_date,last_exit_date,is_partial_year,is_full_calendar_year,completed_trades,winning_trades,losing_trades,flat_trades,gross_profit,gross_loss_abs,sum_trade_returns,avg_trade_return,median_trade_return,profit_factor,win_rate,p10_trade_return,worst_trade_return,best_trade_return,avg_holding_days
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low20 trailing,10,-0.02,0.05,breakout_5d_after_signal,low20,2017,entry_year,2017-04-10,2017-12-31,2017-04-12,2017-12-29,2017-05-01,2018-03-13,True,False,626,344,282,0,11.291159408191897,4.430858453893598,6.860300954298299,0.010958947211339136,0.0024842745371269643,2.5483006342190504,0.549520766773163,-0.023035922504039574,-0.18644411802534522,0.1661540070153622,36.715654952076676
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low20 trailing,10,-0.02,0.05,breakout_5d_after_signal,low20,2018,entry_year,2018-01-01,2018-12-31,2018-01-02,2018-12-31,2018-01-30,2019-04-01,False,True,581,217,364,0,4.497079807689219,9.459914642759653,-4.962834835070435,-0.008541884397711592,-0.005211527562298366,0.47538270455021014,0.37349397590361444,-0.05182222299468542,-0.1742428587155006,0.11996143383539803,33.017211703958694
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low20 trailing,10,-0.02,0.05,breakout_5d_after_signal,low20,2019,entry_year,2019-01-01,2019-12-31,2019-01-02,2019-12-30,2019-02-08,2020-03-12,False,True,907,564,343,0,26.553539216618137,6.734274397849611,19.819264818768527,0.021851449634805432,0.009932730244897272,3.943043845242958,0.6218302094818081,-0.025734997334850428,-0.1119780394231259,0.8439384260862783,41.48621830209482
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low20 trailing,10,-0.02,0.05,breakout_5d_after_signal,low20,2020,entry_year,2020-01-01,2020-12-31,2020-01-03,2020-12-30,2020-01-15,2021-03-30,False,True,732,396,336,0,36.53142017461894,14.340923714993155,22.19049645962578,0.03031488587380571,0.003978666578610792,2.547354752081001,0.5409836065573771,-0.06377812062381177,-0.26629105949198906,1.3138085000490347,39.97950819672131
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low20 trailing,10,-0.02,0.05,breakout_5d_after_signal,low20,2021,entry_year,2021-01-01,2021-12-31,2021-01-04,2021-12-31,2021-01-11,2022-01-28,False,True,813,286,527,0,10.967948964198293,15.104124258314277,-4.136175294115985,-0.005087546487227534,-0.009660340158343382,0.7261559013036344,0.35178351783517836,-0.051671380813335485,-0.2779843604885638,0.1749792575892397,29.894218942189422
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low20 trailing,10,-0.02,0.05,breakout_5d_after_signal,low20,2022,entry_year,2022-01-01,2022-12-31,2022-01-04,2022-12-28,2022-01-19,2023-03-06,False,True,780,119,661,0,5.416579902360347,24.779148752046993,-19.362568849686646,-0.02482380621754698,-0.030973727331657874,0.21859426877660137,0.15256410256410258,-0.06065647777822232,-0.17723768468399725,0.28447322089076943,21.66794871794872
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low20 trailing,10,-0.02,0.05,breakout_5d_after_signal,low20,2023,entry_year,2023-01-01,2023-12-31,2023-01-06,2023-12-29,2023-02-03,2024-04-01,False,True,1060,618,442,0,33.35062656647724,9.96184209327408,23.38878447320316,0.02206489101245581,0.010564203569159882,3.3478373030018735,0.5830188679245283,-0.03180247585737347,-0.1271583770636331,0.4345732524854362,37.51792452830189
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low20 trailing,10,-0.02,0.05,breakout_5d_after_signal,low20,2024,entry_year,2024-01-01,2024-12-31,2024-01-05,2024-12-18,2024-02-05,2025-03-19,False,True,1245,497,748,0,20.333227382600704,22.398322603992867,-2.0650952213921614,-0.0016587110211985232,-0.010036721470859431,0.9078013448639218,0.39919678714859436,-0.0475419502288803,-0.1261061778697974,0.264010949905193,33.98714859437751
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low20 trailing,10,-0.02,0.05,breakout_5d_after_signal,low20,2025,entry_year,2025-01-01,2025-12-31,2025-01-03,2025-12-31,2025-01-27,2026-03-30,False,True,1336,813,523,0,41.824873158284,13.182492624123878,28.64238053416012,0.021438907585449193,0.0084657299155958,3.1727590790944005,0.6085329341317365,-0.033294205105533436,-0.20904966242627887,0.5105295672861656,42.29565868263473
score_bo_l10_rm002_erp005__breakout_5d_after_signal__low20,Score BO L10 R20>=-0.02 ER20>=0.05 / 5D breakout after signal / Low20 trailing,10,-0.02,0.05,breakout_5d_after_signal,low20,2026,entry_year,2026-01-01,2026-07-15,2026-01-05,2026-07-01,2026-01-20,2026-07-22,True,False,646,275,371,0,17.4568000795148,7.83245300585268,9.624347073662118,0.014898370083068295,-0.002768560787590078,2.2287781447868853,0.42569659442724456,-0.034487469936888504,-0.1646144109987745,0.44836052753800937,33.753869969040245
