behavior_group_id,representative_strategy_key,member_count,member_strategy_keys,normalized_return_hash,qualified_member_count,bootstrap_scope,pareto_input,seed,mean_block_length,bootstrap_paths,path_observations,index_matrix_hash,comparison_index_matrix_hash,additional_index_matrix_hash,prob_ending_equity_above_1000,prob_cagr_above_zero,prob_cagr_above_spy,prob_mdd_above_10pct,prob_mdd_above_15pct,prob_mdd_above_20pct,prob_mdd_above_30pct,prob_mdd_above_40pct,prob_ending_equity_below_750,prob_ending_equity_below_500,calmar_5pct,ending_equity_5pct,ending_equity_25pct,ending_equity_50pct,ending_equity_75pct,ending_equity_95pct,cagr_5pct,cagr_25pct,cagr_50pct,cagr_75pct,cagr_95pct,mdd_magnitude_50pct,mdd_magnitude_75pct,mdd_magnitude_90pct,mdd_magnitude_95pct,mdd_magnitude_99pct,cdar_magnitude_50pct,cdar_magnitude_90pct,cdar_magnitude_95pct,cdar_magnitude_99pct,es95_magnitude_50pct,es95_magnitude_90pct,es95_magnitude_95pct,es95_magnitude_99pct,longest_underwater_observations_50pct,longest_underwater_observations_90pct,longest_underwater_observations_95pct,longest_underwater_observations_99pct,pareto_unit,strict_pareto_frontier,tolerance_pareto_frontier,strict_dominator_count,tolerance_dominator_count,frontier_if_dimension_removed,leader_objectives,descriptive_categories,cagr,dsr_raw_n_540,mean_relative_crash_protection,maximum_drawdown_magnitude,cdar_95_magnitude,worst_crash_loss_capture,longest_time_under_water_days,cost_2x_cagr_drop
B021,score_bo_l10_rm002_erp010__breakout_5d_after_signal__chandelier20_2_5atr,2,score_bo_l10_rm002_erp010__breakout_5d_after_signal__chandelier20_2_5atr;score_bo_l10_rp000_erp010__breakout_5d_after_signal__chandelier20_2_5atr,9ef384ec0517e204806003d886379b6926c61220588481ea6144473a87bfbd8a,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B022,score_bo_l10_rm002_erp010__breakout_5d_after_signal__low10,2,score_bo_l10_rm002_erp010__breakout_5d_after_signal__low10;score_bo_l10_rp000_erp010__breakout_5d_after_signal__low10,b0c331809dbc630a071e987ea814195e1c91d2affaa28d174aefcbc0e52aef8c,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B023,score_bo_l10_rm002_erp010__breakout_5d_after_signal__low20,2,score_bo_l10_rm002_erp010__breakout_5d_after_signal__low20;score_bo_l10_rp000_erp010__breakout_5d_after_signal__low20,66cf97e355a735360d8ddd0ee4f8a992af9dd92f8dc6957f8f24676b22c49359,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B024,score_bo_l10_rm002_erp010__breakout_5d_after_signal__low20_minus_0_5atr,2,score_bo_l10_rm002_erp010__breakout_5d_after_signal__low20_minus_0_5atr;score_bo_l10_rp000_erp010__breakout_5d_after_signal__low20_minus_0_5atr,3c169369186fd14892f14de95180184ac3043c09d9900ada9dc10472e94795d4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B025,score_bo_l10_rm002_erp010__breakout_5d_after_signal__ma50,2,score_bo_l10_rm002_erp010__breakout_5d_after_signal__ma50;score_bo_l10_rp000_erp010__breakout_5d_after_signal__ma50,43d4bdfef6bcbfef1f4ac1f10748e8ea57864b003c0b4e2e4bb04d341f1f204a,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B026,score_bo_l10_rm002_erp010__first_signal__chandelier20_2_5atr,2,score_bo_l10_rm002_erp010__first_signal__chandelier20_2_5atr;score_bo_l10_rp000_erp010__first_signal__chandelier20_2_5atr,a1971b27a1a23b056b44353d19f1376eabc19a093532fb83e4b1e1e22e10c8ea,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B027,score_bo_l10_rm002_erp010__first_signal__low10,2,score_bo_l10_rm002_erp010__first_signal__low10;score_bo_l10_rp000_erp010__first_signal__low10,8ccf8d24907165116a5657230d56e6b451bc3ca62663cd1eb8784e7dc79458a6,2,comparison,True,20260728,20,5000,2332,a20988da73bd1a04c843855e91b3a958683e1f2cc5ec7a90bdb8ef62156e595f,a20988da73bd1a04c843855e91b3a958683e1f2cc5ec7a90bdb8ef62156e595f,,0.835,0.835,0.004,0.9932,0.812,0.484,0.1046,0.0144,0.0198,0.0002,-0.0622839722909,833.302894398,1073.13903884,1263.11917239,1499.74874439,1906.01570011,-0.019467490351,0.00763891009107,0.0255017480607,0.0446625383258,0.0720118477488,0.197828781168,0.247642409912,0.301509709046,0.340806013439,0.415104171172,0.170249314615,0.27787847873,0.319096328776,0.392316583395,0.0145634602514,0.0158866528855,0.0162819134063,0.0170129203925,932,1915,2173,2320,behavioral_path,True,True,0,0,,best_worst_crash_drawdown;largest_behavioral_equivalence_group,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;strict behavior-path frontier;tolerance behavior-path frontier,0.0255301523433,0.131164336008,0.108227140109,0.205874492983,0.163034434547,0.70244393742,1523,0.0543334622373
B028,score_bo_l10_rm002_erp010__first_signal__low20,2,score_bo_l10_rm002_erp010__first_signal__low20;score_bo_l10_rp000_erp010__first_signal__low20,d1e3458062440d9f18403367c53a879261897f7f2b914067c06c2a4cc7a5655c,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B029,score_bo_l10_rm002_erp010__first_signal__low20_minus_0_5atr,2,score_bo_l10_rm002_erp010__first_signal__low20_minus_0_5atr;score_bo_l10_rp000_erp010__first_signal__low20_minus_0_5atr,00ea1edaf22bb73c4a3c5dfa26a43fe6100cb115215a096ee4c9c409bf2a0201,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B030,score_bo_l10_rm002_erp010__first_signal__ma50,2,score_bo_l10_rm002_erp010__first_signal__ma50;score_bo_l10_rp000_erp010__first_signal__ma50,5956a72c418806a116bd7dbe51f9bbad73ff0228637717490634e9889c6d3670,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B031,score_bo_l10_rm002_erp010__signal_2d_confirm__chandelier20_2_5atr,2,score_bo_l10_rm002_erp010__signal_2d_confirm__chandelier20_2_5atr;score_bo_l10_rp000_erp010__signal_2d_confirm__chandelier20_2_5atr,46edd1201306e882b40c27a3ab4c424b93d85bdeb211d758126b2cc510596c5c,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B032,score_bo_l10_rm002_erp010__signal_2d_confirm__low10,2,score_bo_l10_rm002_erp010__signal_2d_confirm__low10;score_bo_l10_rp000_erp010__signal_2d_confirm__low10,b9bbcad5a387db4695b43091abcc8973133d3ebc56b7717714b9e3bdcca3fd50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B033,score_bo_l10_rm002_erp010__signal_2d_confirm__low20,2,score_bo_l10_rm002_erp010__signal_2d_confirm__low20;score_bo_l10_rp000_erp010__signal_2d_confirm__low20,f47e50df934073bcfa9d3717f54b233c3db21f021a71448d9f35a6848643baa4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
