strategy_key,qualification_rank,pareto_unit,strict_pareto_frontier,tolerance_pareto_frontier,strict_dominator_count,tolerance_dominator_count,frontier_if_dimension_removed,leader_objectives,descriptive_categories,behavior_group_id,behavior_group_representative,behavior_group_member_count,behavior_group_size,cagr,cagr_5pct,dsr_raw_n_540,mean_relative_crash_protection,maximum_drawdown_magnitude,cdar_95_magnitude,mdd_magnitude_95pct,worst_crash_loss_capture,longest_time_under_water_days,cost_2x_cagr_drop
score_bo_l20_rp000_erp010__first_signal__low10,18,behavioral_path,True,True,0,0,,largest_behavioral_equivalence_group;lowest_bootstrap_95pct_mdd;lowest_cdar95,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;strict behavior-path frontier;tolerance behavior-path frontier,B147,score_bo_l20_rm002_erp010__first_signal__low10,2,2,0.0349259631879,-0.0100983990325,0.201374419085,0.104947211142,0.193598665611,0.154267242999,0.313151041847,0.766928038477,1540,0.0549023547042
score_bo_l20_rp000_erp015__first_signal__low10,22,behavioral_path,True,True,0,0,,largest_behavioral_equivalence_group;lowest_mdd,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;strict behavior-path frontier;tolerance behavior-path frontier,B167,score_bo_l20_rm002_erp015__first_signal__low10,2,2,0.0295770742057,-0.0146452114327,0.158138793486,0.106513897022,0.18860216452,0.157253392332,0.326516305507,0.717271317084,1556,0.0541741223832
score_bo_l20_rp002_erp010__first_signal__low10,17,behavioral_path,True,True,0,0,,shortest_longest_time_under_water,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;strict behavior-path frontier;tolerance behavior-path frontier,B207,score_bo_l20_rp002_erp010__first_signal__low10,1,1,0.0576028587269,-0.0101181443656,0.27073685318,0.0783388010186,0.295496768483,0.227269708459,0.42476876283,1.33840233321,981,0.06356616068
score_bo_l40_rm002_erp015__signal_3d_confirm__low20,8,behavioral_path,True,True,0,0,,largest_behavioral_equivalence_group,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;strict behavior-path frontier;tolerance behavior-path frontier,B298,score_bo_l40_rm002_erp015__signal_3d_confirm__low20,2,2,0.0671850483281,-0.00885520624075,0.353759320125,0.101214230162,0.292823094042,0.267795942972,0.388950519071,0.6488700351,1601,0.0359829670999
score_bo_l40_rm002_erp015__signal_3d_confirm__low20_minus_0_5atr,28,behavioral_path,True,True,0,0,,largest_behavioral_equivalence_group;lowest_cost_sensitivity,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;strict behavior-path frontier;tolerance behavior-path frontier,B299,score_bo_l40_rm002_erp015__signal_3d_confirm__low20_minus_0_5atr,2,2,0.0728332066594,-0.00262089216948,0.402206236839,0.0940395144773,0.301023421963,0.280262570794,0.376673097885,0.834265833978,1663,0.0326401276519
score_bo_l40_rm002_erp015__signal_3d_confirm__ma50,5,behavioral_path,True,True,0,0,,largest_behavioral_equivalence_group;lowest_worst_crash_loss_capture,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;strict behavior-path frontier;tolerance behavior-path frontier,B300,score_bo_l40_rm002_erp015__signal_3d_confirm__ma50,2,2,0.0652509784914,-0.00931693510796,0.329931637348,0.110396708989,0.237836610033,0.210121621931,0.382346651036,0.504664737586,1601,0.0355609596495
score_bo_l40_rp000_erp015__signal_3d_confirm__low20,9,behavioral_path,True,True,0,0,,largest_behavioral_equivalence_group,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;strict behavior-path frontier;tolerance behavior-path frontier,B298,score_bo_l40_rm002_erp015__signal_3d_confirm__low20,2,2,0.0671850483281,-0.00885520624075,0.353759320125,0.101214230162,0.292823094042,0.267795942972,0.388950519071,0.6488700351,1601,0.0359829670999
score_bo_l40_rp000_erp015__signal_3d_confirm__low20_minus_0_5atr,29,behavioral_path,True,True,0,0,,largest_behavioral_equivalence_group;lowest_cost_sensitivity,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;strict behavior-path frontier;tolerance behavior-path frontier,B299,score_bo_l40_rm002_erp015__signal_3d_confirm__low20_minus_0_5atr,2,2,0.0728332066594,-0.00262089216948,0.402206236839,0.0940395144773,0.301023421963,0.280262570794,0.376673097885,0.834265833978,1663,0.0326401276519
score_bo_l40_rp000_erp015__signal_3d_confirm__ma50,6,behavioral_path,True,True,0,0,,largest_behavioral_equivalence_group;lowest_worst_crash_loss_capture,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;strict behavior-path frontier;tolerance behavior-path frontier,B300,score_bo_l40_rm002_erp015__signal_3d_confirm__ma50,2,2,0.0652509784914,-0.00931693510796,0.329931637348,0.110396708989,0.237836610033,0.210121621931,0.382346651036,0.504664737586,1601,0.0355609596495
score_bo_l40_rp002_erp005__signal_3d_confirm__low20,40,behavioral_path,True,True,0,0,,fastest_mean_exposure_reduction,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;strict behavior-path frontier;tolerance behavior-path frontier,B318,score_bo_l40_rp002_erp005__signal_3d_confirm__low20,1,1,0.0595408759235,-0.0238455369562,0.214522079839,0.0754031054569,0.409710569338,0.343554425072,0.505637560883,0.963487176539,1590,0.0365397797163
score_bo_l40_rp002_erp005__signal_3d_confirm__low20_minus_0_5atr,41,behavioral_path,True,True,0,0,,,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;strict behavior-path frontier;tolerance behavior-path frontier,B319,score_bo_l40_rp002_erp005__signal_3d_confirm__low20_minus_0_5atr,1,1,0.0748950296496,-0.00729040520024,0.304885666244,0.0669602211892,0.376790804537,0.351765426191,0.466135680067,1.28273429432,1533,0.0340370039304
score_bo_l40_rp002_erp005__signal_3d_confirm__ma50,25,behavioral_path,True,True,0,0,,,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;strict behavior-path frontier;tolerance behavior-path frontier,B320,score_bo_l40_rp002_erp005__signal_3d_confirm__ma50,1,1,0.0587763032174,-0.0169327626811,0.218418036922,0.0926781670673,0.332340562015,0.262853793112,0.465207762242,0.661895024437,1590,0.0363398994842
score_bo_l40_rp002_erp010__signal_3d_confirm__low20,38,behavioral_path,True,True,0,0,,fastest_mean_exposure_reduction,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;strict behavior-path frontier;tolerance behavior-path frontier,B338,score_bo_l40_rp002_erp010__signal_3d_confirm__low20,1,1,0.069095667311,-0.0143164378974,0.269015233324,0.076552494999,0.406955220112,0.340406370375,0.481747968413,0.938351180434,1449,0.0367830772568
score_bo_l40_rp002_erp010__signal_3d_confirm__low20_minus_0_5atr,36,behavioral_path,True,True,0,0,,,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;strict behavior-path frontier;tolerance behavior-path frontier,B339,score_bo_l40_rp002_erp010__signal_3d_confirm__low20_minus_0_5atr,1,1,0.0796831747241,-0.00320578892193,0.336601757003,0.0681038500019,0.374900224187,0.348451955417,0.455797648179,1.2563153479,1419,0.0342750645169
score_bo_l40_rp002_erp015__signal_3d_confirm__low20,37,behavioral_path,True,True,0,0,,fastest_mean_exposure_reduction,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;strict behavior-path frontier;tolerance behavior-path frontier,B358,score_bo_l40_rp002_erp015__signal_3d_confirm__low20,1,1,0.085267542088,-0.00818262419108,0.347067778203,0.080625436672,0.392580057706,0.325826668797,0.473396173127,0.818106999071,1448,0.0370015838401
score_bo_l40_rp002_erp015__signal_3d_confirm__low20_minus_0_5atr,39,behavioral_path,True,True,0,0,,best_worst_full_year_loo;highest_bootstrap_5pct_cagr;highest_bootstrap_prob_cagr_positive;highest_cagr;highest_calmar;highest_dsr_raw;highest_psr_vs_zero;lowest_best_day_concentration,comparison bootstrap majority positive;comparison bootstrap non-negative 5th-percentile CAGR;strict behavior-path frontier;tolerance behavior-path frontier,B359,score_bo_l40_rp002_erp015__signal_3d_confirm__low20_minus_0_5atr,1,1,0.0994234083303,0.00641228442963,0.438698627173,0.0735902173064,0.353444782874,0.326948865273,0.441580380184,1.0943430443,1414,0.0345588584352
score_bo_l40_rp002_erp015__signal_3d_confirm__ma50,10,behavioral_path,True,True,0,0,,,comparison bootstrap majority positive;comparison bootstrap negative 5th-percentile CAGR;strict behavior-path frontier;tolerance behavior-path frontier,B360,score_bo_l40_rp002_erp015__signal_3d_confirm__ma50,1,1,0.0709935493892,-0.0167652592197,0.270548095416,0.0931146378247,0.336092692755,0.266414218721,0.470906056738,0.653497895897,1601,0.0363135160972
