strategy_key,threshold_percent,episode_count,mean_crash_loss_capture,median_crash_loss_capture,worst_crash_loss_capture,mean_relative_crash_protection,worst_relative_crash_protection,mean_strategy_crash_maximum_drawdown,worst_strategy_crash_maximum_drawdown,mean_exposure_at_onset,mean_exposure_after_10d,mean_10d_exposure_reduction,mean_days_to_exposure_below_50pct,proportion_positive_strategy_return,proportion_loss_less_than_half_spy,proportion_recovered_before_spy
score_bo_l10_rp000_erp015__first_signal__low10,15,4,0.294806150745,0.202110211224,0.775004180531,0.0884213790796,0.0283166444541,-0.0692333989109,-0.142679094068,0.93748117316,0.945138153215,-0.00765698005548,63.5,1,0.75,0.5
score_bo_l20_rm002_erp005__first_signal__low10,15,4,0.340924565096,0.202680487572,0.958337285242,0.0826606843522,0.00524342311598,-0.0742322505895,-0.16311625035,0.938748630635,0.927278256327,0.011470374308,63.5,0.75,0.75,0.75
score_bo_l20_rm002_erp010__first_signal__low10,15,4,0.297602115047,0.211380099057,0.767648262074,0.088334460747,0.0292424168887,-0.0690178392882,-0.14036784867,0.941748138666,0.926219149478,0.0155289891888,37,1,0.75,0.75
score_bo_l20_rm002_erp015__first_signal__low10,15,4,0.294869602691,0.211289149677,0.756900111411,0.0886539506761,0.0305951156258,-0.0684737113219,-0.138552433549,0.941533042868,0.908450648678,0.0330823941896,63.5,1,0.75,0.75
score_bo_l20_rp000_erp005__first_signal__low10,15,4,0.340924565096,0.202680487572,0.958337285242,0.0826606843522,0.00524342311598,-0.0742322505895,-0.16311625035,0.938748630635,0.927278256327,0.011470374308,63.5,0.75,0.75,0.75
score_bo_l20_rp000_erp010__first_signal__low10,15,4,0.297602115047,0.211380099057,0.767648262074,0.088334460747,0.0292424168887,-0.0690178392882,-0.14036784867,0.941748138666,0.926219149478,0.0155289891888,37,1,0.75,0.75
score_bo_l20_rp000_erp015__first_signal__low10,15,4,0.294869602691,0.211289149677,0.756900111411,0.0886539506761,0.0305951156258,-0.0684737113219,-0.138552433549,0.941533042868,0.908450648678,0.0330823941896,63.5,1,0.75,0.75
score_bo_l20_rp002_erp005__first_signal__low10,15,4,0.679353486796,0.342585920488,2.03224210621,0.0433794513741,-0.129911892501,-0.12062219014,-0.32218452627,0.713275569876,0.75,-0.0367244301244,17.6666666667,0.75,0.75,0.5
score_bo_l20_rp002_erp010__first_signal__low10,15,4,0.537700324154,0.342585920488,1.46562945564,0.0612070814687,-0.0586013721224,-0.105893688361,-0.263092679543,0.713275569876,0.75,-0.0367244301244,17.6666666667,1,0.75,0.25
score_bo_l20_rp002_erp015__first_signal__low10,15,4,0.542417327739,0.342585920488,1.48449746998,0.0605812066215,-0.0609759889262,-0.11305588431,-0.287845622976,0.713275569876,0.75,-0.0367244301244,17.6666666667,0.75,0.75,0.25
score_bo_l40_rm002_erp005__signal_3d_confirm__low20,15,4,0.43432595364,0.27073864866,1.19582651724,0.0709763770791,-0.0246455684218,-0.0826686186296,-0.211266967469,0.957662910385,1,-0.0423370896151,52.5,0.75,0.75,0.5
score_bo_l40_rm002_erp005__signal_3d_confirm__low20_minus_0_5atr,15,4,0.498118356602,0.303530930399,1.38541156561,0.0649615141513,-0.0485056224496,-0.0841336456141,-0.211490119314,0.9579940686,1,-0.0420059314,46,0.75,0.75,0.5
score_bo_l40_rm002_erp005__signal_3d_confirm__ma50,15,4,0.405739546915,0.246379537204,1.13019911325,0.0750536635277,-0.0163860911144,-0.0775985281117,-0.204518556749,0.951388150652,1,-0.0486118493476,78,0.75,0.75,0.75
score_bo_l40_rm002_erp010__signal_3d_confirm__low20,15,4,0.483444972283,0.274011998223,1.37156230793,0.0649335614611,-0.0467626367055,-0.0868984421576,-0.227936344915,0.956451803245,1,-0.0435481967546,36,0.75,0.75,0.5
score_bo_l40_rm002_erp010__signal_3d_confirm__low20_minus_0_5atr,15,4,0.540285589525,0.306674960877,1.53020732359,0.0598945169389,-0.0667287610254,-0.0882079657108,-0.227890105472,0.956696379268,1,-0.0433036207317,46,0.75,0.75,0.5
score_bo_l40_rm002_erp010__signal_3d_confirm__ma50,15,4,0.426975220438,0.249590052877,1.2006653369,0.0723187228842,-0.0252545536743,-0.078857543109,-0.209092081071,0.949699251764,1,-0.0503007482358,45,0.75,0.75,0.5
score_bo_l40_rm002_erp015__signal_3d_confirm__low20,15,4,0.404314394056,0.270250388765,1.06256321394,0.0747967079957,-0.00787383645214,-0.0771901786142,-0.186744375386,0.956451803245,1,-0.0435481967546,20,0.75,0.75,0.5
score_bo_l40_rm002_erp015__signal_3d_confirm__low20_minus_0_5atr,15,4,0.453753027824,0.304522065841,1.18838286686,0.0707301869385,-0.0237087545653,-0.0775559456455,-0.183873637539,0.956696379268,1,-0.0433036207317,46,0.75,0.75,0.5
score_bo_l40_rm002_erp015__signal_3d_confirm__ma50,15,4,0.379787458461,0.249590052877,1.01191428899,0.0782574957985,-0.00149946201706,-0.0740129551287,-0.187184289872,0.949699251764,1,-0.0503007482358,78,0.75,0.75,0.75
score_bo_l40_rp000_erp005__signal_3d_confirm__low20,15,4,0.43432595364,0.27073864866,1.19582651724,0.0709763770791,-0.0246455684218,-0.0826686186296,-0.211266967469,0.957662910385,1,-0.0423370896151,52.5,0.75,0.75,0.5
score_bo_l40_rp000_erp005__signal_3d_confirm__low20_minus_0_5atr,15,4,0.498118356602,0.303530930399,1.38541156561,0.0649615141513,-0.0485056224496,-0.0841336456141,-0.211490119314,0.9579940686,1,-0.0420059314,46,0.75,0.75,0.5
score_bo_l40_rp000_erp005__signal_3d_confirm__ma50,15,4,0.405739546915,0.246379537204,1.13019911325,0.0750536635277,-0.0163860911144,-0.0775985281117,-0.204518556749,0.951388150652,1,-0.0486118493476,78,0.75,0.75,0.75
score_bo_l40_rp000_erp010__signal_3d_confirm__low20,15,4,0.483444972283,0.274011998223,1.37156230793,0.0649335614611,-0.0467626367055,-0.0868984421576,-0.227936344915,0.956451803245,1,-0.0435481967546,36,0.75,0.75,0.5
score_bo_l40_rp000_erp010__signal_3d_confirm__low20_minus_0_5atr,15,4,0.540285589525,0.306674960877,1.53020732359,0.0598945169389,-0.0667287610254,-0.0882079657108,-0.227890105472,0.956696379268,1,-0.0433036207317,46,0.75,0.75,0.5
score_bo_l40_rp000_erp010__signal_3d_confirm__ma50,15,4,0.426975220438,0.249590052877,1.2006653369,0.0723187228842,-0.0252545536743,-0.078857543109,-0.209092081071,0.949699251764,1,-0.0503007482358,45,0.75,0.75,0.5
score_bo_l40_rp000_erp015__signal_3d_confirm__low20,15,4,0.404314394056,0.270250388765,1.06256321394,0.0747967079957,-0.00787383645214,-0.0771901786142,-0.186744375386,0.956451803245,1,-0.0435481967546,20,0.75,0.75,0.5
score_bo_l40_rp000_erp015__signal_3d_confirm__low20_minus_0_5atr,15,4,0.453753027824,0.304522065841,1.18838286686,0.0707301869385,-0.0237087545653,-0.0775559456455,-0.183873637539,0.956696379268,1,-0.0433036207317,46,0.75,0.75,0.5
score_bo_l40_rp000_erp015__signal_3d_confirm__ma50,15,4,0.379787458461,0.249590052877,1.01191428899,0.0782574957985,-0.00149946201706,-0.0740129551287,-0.187184289872,0.949699251764,1,-0.0503007482358,78,0.75,0.75,0.75
score_bo_l40_rp002_erp005__signal_3d_confirm__low20,15,4,0.675297285982,0.531647979901,1.57913969613,0.0444894455601,-0.0728871003164,-0.131815135069,-0.326655075122,0.694817028372,0.75,-0.0551829716278,3.5,0.75,0.5,0.25
score_bo_l40_rp002_erp005__signal_3d_confirm__low20_minus_0_5atr,15,4,0.743274590997,0.510433486069,1.87875918431,0.0393300464337,-0.110595438802,-0.125874599631,-0.281419140475,0.675390096681,0.75,-0.0746099033186,0,0.75,0.5,0.25
score_bo_l40_rp002_erp005__signal_3d_confirm__ma50,15,4,0.596260743723,0.496796736545,1.35994920832,0.0551976998111,-0.0453010806052,-0.120315273147,-0.293059621831,0.640871041877,0.75,-0.109128958123,3.5,0.75,0.5,0.5
score_bo_l40_rp002_erp010__signal_3d_confirm__low20,15,4,0.670303092636,0.531647979901,1.55916292274,0.0451179852265,-0.0703729416508,-0.131278958861,-0.324510370291,0.694817028372,0.75,-0.0551829716278,3.5,0.75,0.5,0.25
score_bo_l40_rp002_erp010__signal_3d_confirm__low20_minus_0_5atr,15,4,0.738214870539,0.510249239128,1.85888879636,0.0399621425218,-0.108094669179,-0.125683432785,-0.28065447309,0.675390096681,0.75,-0.0746099033186,0,0.75,0.5,0.25
score_bo_l40_rp002_erp010__signal_3d_confirm__ma50,15,4,0.59914622522,0.496796736545,1.37149113431,0.0548345501588,-0.0467536792145,-0.120136803164,-0.2923457419,0.640871041877,0.75,-0.109128958123,3.5,0.75,0.5,0.5
score_bo_l40_rp002_erp015__signal_3d_confirm__low20,15,4,0.630971550751,0.531647979901,1.4018367552,0.0500680206983,-0.0505727997634,-0.128611157342,-0.303751958397,0.694817028372,0.75,-0.0551829716278,10.6666666667,0.75,0.5,0.25
score_bo_l40_rp002_erp015__signal_3d_confirm__low20_minus_0_5atr,15,4,0.68797580936,0.510249239128,1.65793255164,0.0462849339251,-0.0828035035655,-0.120813267498,-0.25556819352,0.675390096681,0.75,-0.0746099033186,0,1,0.5,0.25
score_bo_l40_rp002_erp015__signal_3d_confirm__ma50,15,4,0.593053493737,0.496796736545,1.34712020838,0.0556013453443,-0.0436864984723,-0.119744632265,-0.291700099914,0.640871041877,0.75,-0.109128958123,3.5,0.75,0.5,0.5
score_bo_l10_rm002_erp005__first_signal__low10,20,2,0.69590730794,0.69590730794,1.27457510466,0.0699508087304,-0.0212931457859,-0.120356724402,-0.150822161524,0.894855986797,1,-0.105144013203,52,1,0.5,0.5
score_bo_l10_rm002_erp010__first_signal__low10,20,2,0.565474483531,0.565474483531,1.01756747381,0.0802684506755,-0.00136234776769,-0.11274498587,-0.134613561074,0.894855986797,1,-0.105144013203,52,1,0.5,0.5
score_bo_l10_rm002_erp015__first_signal__low10,20,2,0.538040751128,0.538040751128,0.968341616807,0.0826922569275,0.00245508990885,-0.111371011942,-0.132044886161,0.894855986797,1,-0.105144013203,52,1,0.5,0.5
score_bo_l10_rp000_erp005__first_signal__low10,20,2,0.69590730794,0.69590730794,1.27457510466,0.0699508087304,-0.0212931457859,-0.120356724402,-0.150822161524,0.894855986797,1,-0.105144013203,52,1,0.5,0.5
