strategy_key,scenario_type,scenario_label,removed_observations,ending_equity,cagr,maximum_drawdown,cdar_95,sharpe_ratio,calmar_ratio,total_log_growth,best_day_log_contribution,best_day_contribution_ratio,best_5_days_log_contribution,best_5_days_contribution_ratio,best_10_days_log_contribution,best_10_days_contribution_ratio,best_month,best_month_log_contribution,best_month_contribution_ratio,top_3_months_log_contribution,top_3_months_contribution_ratio,best_calendar_year,best_year_log_contribution,best_year_contribution_ratio,top_2_years_log_contribution,top_2_years_contribution_ratio,worst_day_log_contribution,worst_day_contribution_ratio,worst_month,worst_month_log_contribution,worst_month_contribution_ratio,worst_calendar_year,worst_year_log_contribution,worst_year_contribution_ratio
score_bo_l10_rp000_erp015__first_signal__low10,leave_drawdown_episode_out,35:2021-01-20:2021-01-29:2021-02-08,13,1267.81420273,0.0261215270485,-0.211662339899,-0.177125368277,0.326390289501,0.123411311908,0.240738565172,0.0375205311133,0.155855922322,0.133811260368,0.555836412305,0.226725542228,0.941791532512,2020-11,0.0676745999616,0.281112417171,0.188483371014,0.782938001146,2023,0.132282138208,0.549484616701,0.225735675505,0.937679741276,-0.0511120170234,-0.212313374,2022-01,-0.0644702167812,-0.267801782134,2022,-0.163687694905,-0.679939646515
score_bo_l10_rp000_erp015__first_signal__low10,leave_drawdown_episode_out,36:2021-02-09:2021-02-10:2021-02-11,2,1268.22818239,0.0260328458515,-0.211662339899,-0.177002066234,0.324481457933,0.122992337058,0.240738565172,0.0375205311133,0.155855922322,0.133811260368,0.555836412305,0.226725542228,0.941791532512,2020-11,0.0676745999616,0.281112417171,0.188483371014,0.782938001146,2023,0.132282138208,0.549484616701,0.225735675505,0.937679741276,-0.0511120170234,-0.212313374,2022-01,-0.0644702167812,-0.267801782134,2022,-0.163687694905,-0.679939646515
score_bo_l10_rp000_erp015__first_signal__low10,leave_drawdown_episode_out,37:2021-02-12:2021-02-26:2021-03-12,19,1261.43201528,0.025626084223,-0.211662339899,-0.177125368277,0.323551373565,0.121070589294,0.240738565172,0.0375205311133,0.155855922322,0.133811260368,0.555836412305,0.226725542228,0.941791532512,2020-11,0.0676745999616,0.281112417171,0.188483371014,0.782938001146,2023,0.132282138208,0.549484616701,0.225735675505,0.937679741276,-0.0511120170234,-0.212313374,2022-01,-0.0644702167812,-0.267801782134,2022,-0.163687694905,-0.679939646515
score_bo_l10_rp000_erp015__first_signal__low10,leave_drawdown_episode_out,38:2021-03-15:2021-03-24:2021-04-15,22,1271.45773287,0.0265459456576,-0.211662339899,-0.177125368277,0.330324032423,0.125416480184,0.240738565172,0.0375205311133,0.155855922322,0.133811260368,0.555836412305,0.226725542228,0.941791532512,2020-11,0.0676745999616,0.281112417171,0.188483371014,0.782938001146,2023,0.132282138208,0.549484616701,0.225735675505,0.937679741276,-0.0511120170234,-0.212313374,2022-01,-0.0644702167812,-0.267801782134,2022,-0.163687694905,-0.679939646515
score_bo_l10_rp000_erp015__first_signal__low10,leave_drawdown_episode_out,39:2021-04-16:2021-04-20:2021-04-26,6,1270.96308964,0.0263176896033,-0.211662339899,-0.177002066234,0.327676083985,0.12433808308,0.240738565172,0.0375205311133,0.155855922322,0.133811260368,0.555836412305,0.226725542228,0.941791532512,2020-11,0.0676745999616,0.281112417171,0.188483371014,0.782938001146,2023,0.132282138208,0.549484616701,0.225735675505,0.937679741276,-0.0511120170234,-0.212313374,2022-01,-0.0644702167812,-0.267801782134,2022,-0.163687694905,-0.679939646515
score_bo_l10_rp000_erp015__first_signal__low10,leave_drawdown_episode_out,3:2017-04-25:2017-04-26:2017-04-27,2,1271.2393567,0.0262960453217,-0.211662339899,-0.177002066234,0.3272419827,0.124235824541,0.240738565172,0.0375205311133,0.155855922322,0.133811260368,0.555836412305,0.226725542228,0.941791532512,2020-11,0.0676745999616,0.281112417171,0.188483371014,0.782938001146,2023,0.132282138208,0.549484616701,0.225735675505,0.937679741276,-0.0511120170234,-0.212313374,2022-01,-0.0644702167812,-0.267801782134,2022,-0.163687694905,-0.679939646515
score_bo_l10_rp000_erp015__first_signal__low10,leave_drawdown_episode_out,40:2021-04-26:2021-05-04:2021-05-07,9,1271.74478437,0.0264205804651,-0.211662339899,-0.177002066234,0.328533952968,0.124824191577,0.240738565172,0.0375205311133,0.155855922322,0.133811260368,0.555836412305,0.226725542228,0.941791532512,2020-11,0.0676745999616,0.281112417171,0.188483371014,0.782938001146,2023,0.132282138208,0.549484616701,0.225735675505,0.937679741276,-0.0511120170234,-0.212313374,2022-01,-0.0644702167812,-0.267801782134,2022,-0.163687694905,-0.679939646515
score_bo_l10_rp000_erp015__first_signal__low10,leave_drawdown_episode_out,41:2021-05-07:2021-05-12:2021-06-10,23,1270.3180142,0.0264571253973,-0.211662339899,-0.177125368277,0.329014223132,0.124996848329,0.240738565172,0.0375205311133,0.155855922322,0.133811260368,0.555836412305,0.226725542228,0.941791532512,2020-11,0.0676745999616,0.281112417171,0.188483371014,0.782938001146,2023,0.132282138208,0.549484616701,0.225735675505,0.937679741276,-0.0511120170234,-0.212313374,2022-01,-0.0644702167812,-0.267801782134,2022,-0.163687694905,-0.679939646515
score_bo_l10_rp000_erp015__first_signal__low10,leave_drawdown_episode_out,42:2021-06-10:2021-06-18:2021-07-02,16,1267.94130645,0.0261669952336,-0.211662339899,-0.177125368277,0.325334312288,0.123626126622,0.240738565172,0.0375205311133,0.155855922322,0.133811260368,0.555836412305,0.226725542228,0.941791532512,2020-11,0.0676745999616,0.281112417171,0.188483371014,0.782938001146,2023,0.132282138208,0.549484616701,0.225735675505,0.937679741276,-0.0511120170234,-0.212313374,2022-01,-0.0644702167812,-0.267801782134,2022,-0.163687694905,-0.679939646515
score_bo_l10_rp000_erp015__first_signal__low10,leave_drawdown_episode_out,43:2021-07-02:2021-09-30:2021-11-05,88,1266.5675756,0.0268928041633,-0.211662339899,-0.177502888362,0.331690224102,0.127055215283,0.240738565172,0.0375205311133,0.155855922322,0.133811260368,0.555836412305,0.226725542228,0.941791532512,2020-11,0.0676745999616,0.281112417171,0.188483371014,0.782938001146,2023,0.132282138208,0.549484616701,0.225735675505,0.937679741276,-0.0511120170234,-0.212313374,2022-01,-0.0644702167812,-0.267801782134,2022,-0.163687694905,-0.679939646515
score_bo_l10_rp000_erp015__first_signal__low10,leave_drawdown_episode_out,44:2021-11-08:2022-10-14:2026-01-27,1057,1264.08813475,0.0474082608791,-0.112654041419,-0.100854251592,0.583898149355,0.420830538187,0.240738565172,0.0375205311133,0.155855922322,0.133811260368,0.555836412305,0.226725542228,0.941791532512,2020-11,0.0676745999616,0.281112417171,0.188483371014,0.782938001146,2023,0.132282138208,0.549484616701,0.225735675505,0.937679741276,-0.0511120170234,-0.212313374,2022-01,-0.0644702167812,-0.267801782134,2022,-0.163687694905,-0.679939646515
score_bo_l10_rp000_erp015__first_signal__low10,leave_drawdown_episode_out,45:2026-01-29:2026-02-05:2026-02-09,7,1268.90577047,0.026148960165,-0.211662339899,-0.177002066234,0.326262147068,0.123540919832,0.240738565172,0.0375205311133,0.155855922322,0.133811260368,0.555836412305,0.226725542228,0.941791532512,2020-11,0.0676745999616,0.281112417171,0.188483371014,0.782938001146,2023,0.132282138208,0.549484616701,0.225735675505,0.937679741276,-0.0511120170234,-0.212313374,2022-01,-0.0644702167812,-0.267801782134,2022,-0.163687694905,-0.679939646515
score_bo_l10_rp000_erp015__first_signal__low10,leave_drawdown_episode_out,46:2026-02-11:2026-02-12:2026-02-20,6,1267.7907397,0.026039843334,-0.211662339899,-0.177002066234,0.324487426773,0.123025396707,0.240738565172,0.0375205311133,0.155855922322,0.133811260368,0.555836412305,0.226725542228,0.941791532512,2020-11,0.0676745999616,0.281112417171,0.188483371014,0.782938001146,2023,0.132282138208,0.549484616701,0.225735675505,0.937679741276,-0.0511120170234,-0.212313374,2022-01,-0.0644702167812,-0.267801782134,2022,-0.163687694905,-0.679939646515
score_bo_l10_rp000_erp015__first_signal__low10,leave_drawdown_episode_out,47:2026-02-20:2026-02-23:2026-02-25,3,1269.00233245,0.0261119174457,-0.211662339899,-0.177002066234,0.325306497761,0.123365911282,0.240738565172,0.0375205311133,0.155855922322,0.133811260368,0.555836412305,0.226725542228,0.941791532512,2020-11,0.0676745999616,0.281112417171,0.188483371014,0.782938001146,2023,0.132282138208,0.549484616701,0.225735675505,0.937679741276,-0.0511120170234,-0.212313374,2022-01,-0.0644702167812,-0.267801782134,2022,-0.163687694905,-0.679939646515
score_bo_l10_rp000_erp015__first_signal__low10,leave_drawdown_episode_out,48:2026-02-27:2026-04-08:2026-05-06,47,1256.20106403,0.0254740763385,-0.211662339899,-0.177250659695,0.318873375976,0.120352427128,0.240738565172,0.0375205311133,0.155855922322,0.133811260368,0.555836412305,0.226725542228,0.941791532512,2020-11,0.0676745999616,0.281112417171,0.188483371014,0.782938001146,2023,0.132282138208,0.549484616701,0.225735675505,0.937679741276,-0.0511120170234,-0.212313374,2022-01,-0.0644702167812,-0.267801782134,2022,-0.163687694905,-0.679939646515
score_bo_l10_rp000_erp015__first_signal__low10,leave_drawdown_episode_out,49:2026-05-06:2026-05-07:2026-05-08,2,1271.30938863,0.0263021600251,-0.211662339899,-0.177002066234,0.327525396538,0.124264713494,0.240738565172,0.0375205311133,0.155855922322,0.133811260368,0.555836412305,0.226725542228,0.941791532512,2020-11,0.0676745999616,0.281112417171,0.188483371014,0.782938001146,2023,0.132282138208,0.549484616701,0.225735675505,0.937679741276,-0.0511120170234,-0.212313374,2022-01,-0.0644702167812,-0.267801782134,2022,-0.163687694905,-0.679939646515
score_bo_l10_rp000_erp015__first_signal__low10,leave_drawdown_episode_out,4:2017-04-27:2017-04-28:2017-05-02,3,1272.08759921,0.0263815583234,-0.211662339899,-0.177002066234,0.32811187058,0.124639831233,0.240738565172,0.0375205311133,0.155855922322,0.133811260368,0.555836412305,0.226725542228,0.941791532512,2020-11,0.0676745999616,0.281112417171,0.188483371014,0.782938001146,2023,0.132282138208,0.549484616701,0.225735675505,0.937679741276,-0.0511120170234,-0.212313374,2022-01,-0.0644702167812,-0.267801782134,2022,-0.163687694905,-0.679939646515
score_bo_l10_rp000_erp015__first_signal__low10,leave_drawdown_episode_out,50:2026-05-11:2026-05-12:2026-05-14,3,1270.61670313,0.0262530802886,-0.211662339899,-0.177002066234,0.326872217131,0.124032835984,0.240738565172,0.0375205311133,0.155855922322,0.133811260368,0.555836412305,0.226725542228,0.941791532512,2020-11,0.0676745999616,0.281112417171,0.188483371014,0.782938001146,2023,0.132282138208,0.549484616701,0.225735675505,0.937679741276,-0.0511120170234,-0.212313374,2022-01,-0.0644702167812,-0.267801782134,2022,-0.163687694905,-0.679939646515
score_bo_l10_rp000_erp015__first_signal__low10,leave_drawdown_episode_out,51:2026-05-14:2026-05-19:2026-05-26,7,1269.66579906,0.0262155599174,-0.211662339899,-0.177002066234,0.326913588596,0.123855570764,0.240738565172,0.0375205311133,0.155855922322,0.133811260368,0.555836412305,0.226725542228,0.941791532512,2020-11,0.0676745999616,0.281112417171,0.188483371014,0.782938001146,2023,0.132282138208,0.549484616701,0.225735675505,0.937679741276,-0.0511120170234,-0.212313374,2022-01,-0.0644702167812,-0.267801782134,2022,-0.163687694905,-0.679939646515
