symbol,aum,asset_group,category
ELCV,,unknown,unknown
ELD,,unknown,unknown
ELFY,,unknown,unknown
ELM,,unknown,unknown
EMB,,unknown,unknown
EMBD,,unknown,unknown
EMBX,,unknown,unknown
EMC,,unknown,unknown
EMCB,,unknown,unknown
EMCR,,unknown,unknown
EMCS,,unknown,unknown
EMDM,,unknown,unknown
EMDV,,unknown,unknown
EMEQ,,unknown,unknown
EMES,,unknown,unknown
EMET,,unknown,unknown
EMFI,,unknown,unknown
EMGF,,unknown,unknown
EMHC,,unknown,unknown
EMHY,,unknown,unknown
EMIF,,unknown,unknown
EMKT,,unknown,unknown
EMLC,,unknown,unknown
EMLP,,unknown,unknown
EMM,,unknown,unknown
EMMF,,unknown,unknown
EMNT,,unknown,unknown
EMOP,,unknown,unknown
EMOT,,unknown,unknown
EMPB,,unknown,unknown
EMQQ,,unknown,unknown
EMSF,,unknown,unknown
EMTL,,unknown,unknown
EMTY,,unknown,unknown
EMXC,,unknown,unknown
EMXF,,unknown,unknown
ENDW,,unknown,unknown
ENFR,,unknown,unknown
ENHI,,unknown,unknown
ENOR,,unknown,unknown
ENZL,,unknown,unknown
EPAI,,unknown,unknown
EPEM,,unknown,unknown
EPHE,,unknown,unknown
EPI,,unknown,unknown
EPIN,,unknown,unknown
EPOL,,unknown,unknown
EPP,,unknown,unknown
EPRF,,unknown,unknown
EPU,,unknown,unknown
EQAL,,unknown,unknown
EQIN,,unknown,unknown
EQL,,unknown,unknown
EQLT,,unknown,unknown
EQRR,,unknown,unknown
EQTY,,unknown,unknown
EQWL,,unknown,unknown
ERET,,unknown,unknown
ERTH,,unknown,unknown
ESBG,,unknown,unknown
ESG,,unknown,unknown
ESGD,,unknown,unknown
ESGE,,unknown,unknown
ESGG,,unknown,unknown
ESGU,,unknown,unknown
ESGV,,unknown,unknown
ESIM,,unknown,unknown
ESMV,,unknown,unknown
ESN,,unknown,unknown
ESPO,,unknown,unknown
ESUM,,unknown,unknown
ETEC,,unknown,unknown
ETFT,,unknown,unknown
ETH,,unknown,unknown
ETHA,,unknown,unknown
ETHB,,unknown,unknown
ETHE,,unknown,unknown
ETHO,,unknown,unknown
ETHV,,unknown,unknown
ETHW,,unknown,unknown
ETTY,,unknown,unknown
EUAD,,unknown,unknown
EUDG,,unknown,unknown
EUDV,,unknown,unknown
EUFN,,unknown,unknown
EUHY,,unknown,unknown
EUIG,,unknown,unknown
EUM,,unknown,unknown
EUSA,,unknown,unknown
EUSB,,unknown,unknown
